station,fog_type,POD,FAR,FBIAS,TS,HSS,ACCURACY,n_obs,HITS,FALSE_ALARMS,MISSES
AGADIR-MASSIRA,cf,0.373,0.394,0.615,0.3,0.339,0.788,4392,398,259,670
AGADIR-MASSIRA,hc,0.445,0.621,1.175,0.257,0.315,0.837,4392,249,408,310
AL-HOCEIMA,cf,0.143,0.579,0.34,0.12,0.113,0.764,4392,141,194,843
AL-HOCEIMA,hc,0.263,0.869,2.006,0.096,0.131,0.906,4392,44,291,123
FES-SAIS,cf,0.318,0.402,0.532,0.262,0.363,0.894,4392,165,111,354
FES-SAIS,hc,0.482,0.572,1.127,0.293,0.419,0.935,4392,118,158,127
KENITRA,cf,0.135,0.097,0.15,0.133,0.038,0.309,4020,428,46,2733
KENITRA,hc,0.194,0.325,0.287,0.177,0.145,0.631,4020,320,154,1330
LAAYOUNE,cf,0.276,0.136,0.32,0.265,0.261,0.663,3288,399,63,1045
LAAYOUNE,hc,0.356,0.262,0.482,0.316,0.358,0.775,3288,341,121,618
MARRAKECH,cf,0.18,0.799,0.895,0.105,0.156,0.934,4020,31,123,141
MARRAKECH,hc,0.19,0.896,1.833,0.072,0.11,0.949,4020,16,138,68
MEKNES,cf,0.193,0.149,0.226,0.186,0.212,0.704,4392,298,52,1250
MEKNES,hc,0.246,0.451,0.449,0.205,0.258,0.83,4392,192,158,588
NOUASSEUR,cf,0.352,0.142,0.41,0.332,0.317,0.677,4164,670,111,1236
NOUASSEUR,hc,0.468,0.251,0.625,0.405,0.449,0.793,4164,585,196,664
OUJDA,cf,,1.0,,0.0,0.0,0.936,4008,0,255,0
OUJDA,hc,,1.0,,0.0,0.0,0.936,4008,0,255,0
RABAT-SALE,cf,0.195,0.116,0.22,0.19,0.137,0.513,4020,458,60,1896
RABAT-SALE,hc,0.292,0.241,0.385,0.267,0.289,0.732,4020,393,125,954
SIDI-SLIMANE,cf,0.152,0.531,0.324,0.13,0.085,0.671,4020,197,223,1100
SIDI-SLIMANE,hc,0.151,0.688,0.486,0.114,0.074,0.746,4020,131,289,734
TANGER-AERO,cf,0.241,0.244,0.319,0.224,0.275,0.782,4392,276,89,867
TANGER-AERO,hc,0.376,0.551,0.837,0.257,0.351,0.892,4392,164,201,272
TETOUAN,cf,0.317,0.346,0.484,0.271,0.19,0.618,4020,571,302,1232
TETOUAN,hc,0.421,0.622,1.114,0.249,0.243,0.752,4020,330,543,454
