month,fog_type,POD,FAR,FBIAS,TS,HSS,n_obs
1,cf,0.188,0.457,0.545,0.129,0.162,4836
1,hc,0.264,0.583,1.732,0.151,0.207,4836
2,cf,0.175,0.44,0.383,0.133,0.124,4524
2,hc,0.218,0.638,1.148,0.127,0.138,4524
3,cf,0.097,0.381,0.187,0.08,0.069,4836
3,hc,0.124,0.642,0.428,0.088,0.092,4836
4,cf,0.245,0.396,0.726,0.175,0.199,4680
4,hc,0.431,0.593,1.835,0.207,0.272,4680
5,cf,0.239,0.393,0.593,0.197,0.186,4824
5,hc,0.352,0.582,1.195,0.219,0.249,4824
6,cf,0.358,0.334,0.569,0.282,0.224,4680
6,hc,0.453,0.509,1.124,0.283,0.276,4680
7,cf,0.306,0.285,0.492,0.243,0.236,4464
7,hc,0.371,0.477,0.707,0.268,0.301,4464
8,cf,0.402,0.344,0.526,0.305,0.314,2976
8,hc,0.44,0.597,1.236,0.25,0.276,2976
9,cf,0.334,0.344,0.498,0.269,0.257,4680
9,hc,0.419,0.553,2.14,0.272,0.298,4680
10,cf,0.238,0.355,0.385,0.189,0.14,4836
10,hc,0.31,0.526,0.716,0.195,0.187,4836
11,cf,0.294,0.43,0.597,0.207,0.19,4092
11,hc,0.402,0.602,1.279,0.212,0.24,4092
12,cf,0.228,0.514,0.467,0.162,0.164,4092
12,hc,0.291,0.702,2.186,0.142,0.169,4092
