station,fog_type,POD,FAR,FBIAS,TS,HSS,ACCURACY,n_obs,HITS,FALSE_ALARMS,MISSES
AGADIR-MASSIRA,cf,0.15,0.307,0.216,0.14,0.175,0.777,4392,160,71,908
AGADIR-MASSIRA,hc,0.211,0.489,0.413,0.176,0.242,0.874,4392,118,113,441
AL-HOCEIMA,cf,0.067,0.563,0.153,0.062,0.06,0.772,4392,66,85,918
AL-HOCEIMA,hc,0.132,0.854,0.904,0.074,0.106,0.938,4392,22,129,145
FES-SAIS,cf,0.179,0.326,0.266,0.165,0.246,0.893,4392,93,45,426
FES-SAIS,hc,0.278,0.507,0.563,0.216,0.328,0.944,4392,68,70,177
KENITRA,cf,0.061,0.081,0.066,0.061,0.018,0.257,4020,193,17,2968
KENITRA,hc,0.087,0.314,0.127,0.084,0.069,0.609,4020,144,66,1506
LAAYOUNE,cf,0.119,0.136,0.138,0.117,0.115,0.605,3288,172,27,1272
LAAYOUNE,hc,0.157,0.241,0.208,0.15,0.178,0.74,3288,151,48,808
MARRAKECH,cf,0.081,0.778,0.366,0.063,0.098,0.949,4020,14,49,158
MARRAKECH,hc,0.071,0.905,0.75,0.043,0.065,0.966,4020,6,57,78
MEKNES,cf,0.092,0.144,0.108,0.091,0.105,0.675,4392,143,24,1405
MEKNES,hc,0.117,0.455,0.214,0.106,0.138,0.826,4392,91,76,689
NOUASSEUR,cf,0.192,0.094,0.211,0.188,0.186,0.621,4164,365,38,1541
NOUASSEUR,hc,0.266,0.176,0.323,0.252,0.299,0.763,4164,332,71,917
OUJDA,cf,,1.0,,0.0,0.0,0.977,4008,0,94,0
OUJDA,hc,,1.0,,0.0,0.0,0.977,4008,0,94,0
RABAT-SALE,cf,0.094,0.086,0.103,0.093,0.069,0.464,4020,222,21,2132
RABAT-SALE,hc,0.145,0.198,0.18,0.14,0.159,0.701,4020,195,48,1152
SIDI-SLIMANE,cf,0.068,0.5,0.136,0.064,0.046,0.677,4020,88,88,1209
SIDI-SLIMANE,hc,0.069,0.659,0.203,0.061,0.046,0.771,4020,60,116,805
TANGER-AERO,cf,0.122,0.157,0.145,0.12,0.158,0.766,4392,140,26,1003
TANGER-AERO,hc,0.216,0.434,0.381,0.185,0.272,0.906,4392,94,72,342
TETOUAN,cf,0.089,0.397,0.148,0.084,0.045,0.565,4019,161,106,1642
TETOUAN,hc,0.135,0.603,0.341,0.112,0.114,0.791,4019,106,161,678
