month,fog_type,POD,FAR,FBIAS,TS,HSS,n_obs
1,cf,0.075,0.39,0.177,0.062,0.085,4836
1,hc,0.119,0.468,0.486,0.084,0.128,4836
2,cf,0.093,0.356,0.177,0.079,0.082,4523
2,hc,0.104,0.593,0.536,0.077,0.089,4523
3,cf,0.037,0.363,0.059,0.033,0.03,4836
3,hc,0.041,0.601,0.131,0.035,0.036,4836
4,cf,0.079,0.399,0.306,0.069,0.08,4680
4,hc,0.144,0.531,0.761,0.116,0.16,4680
5,cf,0.107,0.36,0.24,0.095,0.1,4824
5,hc,0.148,0.557,0.502,0.117,0.144,4824
6,cf,0.158,0.359,0.254,0.132,0.105,4680
6,hc,0.199,0.534,0.494,0.145,0.141,4680
7,cf,0.134,0.263,0.198,0.12,0.123,4464
7,hc,0.168,0.449,0.288,0.142,0.172,4464
8,cf,0.24,0.201,0.275,0.236,0.255,2976
8,hc,0.252,0.495,0.672,0.2,0.242,2976
9,cf,0.166,0.302,0.243,0.14,0.143,4680
9,hc,0.208,0.511,1.231,0.165,0.192,4680
10,cf,0.117,0.355,0.172,0.102,0.081,4836
10,hc,0.174,0.488,0.328,0.13,0.138,4836
11,cf,0.171,0.38,0.27,0.13,0.141,4092
11,hc,0.257,0.52,0.562,0.173,0.214,4092
12,cf,0.108,0.478,0.162,0.091,0.11,4092
12,hc,0.173,0.638,0.548,0.119,0.16,4092
