station,fog_type,POD,FAR,FBIAS,TS,HSS,ACCURACY,n_obs,HITS,FALSE_ALARMS,MISSES
AGADIR-MASSIRA,cf,0.324,0.373,0.516,0.271,0.309,0.782,3288,267,159,558
AGADIR-MASSIRA,hc,0.371,0.627,0.995,0.229,0.279,0.837,3288,159,267,269
AL-HOCEIMA,cf,0.218,0.585,0.524,0.167,0.155,0.755,1104,54,76,194
AL-HOCEIMA,hc,0.407,0.915,4.815,0.075,0.104,0.878,1104,11,119,16
FES-SAIS,cf,0.35,0.431,0.615,0.276,0.385,0.906,4392,157,119,292
FES-SAIS,hc,0.485,0.58,1.155,0.291,0.416,0.936,4392,116,160,123
KENITRA,cf,0.089,0.209,0.112,0.087,0.023,0.352,1104,68,18,697
KENITRA,hc,0.136,0.302,0.195,0.129,0.112,0.632,1104,60,26,380
LAAYOUNE,cf,0.282,0.13,0.324,0.271,0.271,0.67,3288,402,60,1024
LAAYOUNE,hc,0.359,0.251,0.48,0.321,0.365,0.777,3288,346,116,617
MARRAKECH,cf,0.185,0.812,0.981,0.103,0.154,0.937,4020,29,125,128
MARRAKECH,hc,0.193,0.896,1.855,0.072,0.111,0.949,4020,16,138,67
MEKNES,cf,0.2,0.223,0.257,0.189,0.219,0.735,4392,272,78,1088
MEKNES,hc,0.244,0.48,0.47,0.199,0.251,0.834,4392,182,168,563
NOUASSEUR,cf,0.366,0.15,0.431,0.344,0.339,0.696,4164,664,117,1149
NOUASSEUR,hc,0.472,0.256,0.634,0.406,0.452,0.796,4164,581,200,650
OUJDA,cf,0.261,0.553,0.584,0.197,0.271,0.884,4008,114,141,323
OUJDA,hc,0.631,0.678,1.962,0.271,0.4,0.945,4008,82,173,48
RABAT-SALE,cf,0.147,0.238,0.193,0.141,0.104,0.557,1104,80,25,464
RABAT-SALE,hc,0.257,0.362,0.402,0.224,0.267,0.79,1104,67,38,194
SIDI-SLIMANE,cf,0.071,0.703,0.238,0.061,-0.022,0.62,1104,27,64,355
SIDI-SLIMANE,hc,0.077,0.736,0.293,0.063,-0.009,0.679,1104,24,67,287
TANGER-AERO,cf,0.26,0.333,0.391,0.23,0.298,0.831,1104,56,28,159
TANGER-AERO,hc,0.429,0.607,1.091,0.258,0.364,0.914,1104,33,51,44
TETOUAN,cf,0.333,0.369,0.528,0.279,0.083,0.52,1104,205,120,410
TETOUAN,hc,0.445,0.6,1.113,0.267,0.198,0.677,1104,130,195,162
