month,fog_type,POD,FAR,FBIAS,TS,HSS,n_obs
1,cf,0.232,0.503,0.64,0.191,0.251,2604
1,hc,0.353,0.547,2.024,0.251,0.337,2604
2,cf,0.248,0.351,0.434,0.208,0.259,2436
2,hc,0.308,0.537,0.82,0.216,0.266,2436
3,cf,0.143,0.438,0.288,0.122,0.132,2604
3,hc,0.202,0.547,0.575,0.149,0.192,2604
4,cf,0.285,0.419,1.079,0.192,0.241,2520
4,hc,0.5,0.571,2.569,0.231,0.317,2520
5,cf,0.28,0.374,0.768,0.245,0.265,2592
5,hc,0.344,0.593,1.141,0.237,0.274,2592
6,cf,0.417,0.331,0.718,0.334,0.329,2520
6,hc,0.537,0.458,1.223,0.353,0.388,2520
7,cf,0.417,0.13,0.477,0.385,0.453,2232
7,hc,0.545,0.452,1.114,0.345,0.431,2232
8,cf,0.449,0.39,0.599,0.316,0.315,2232
8,hc,0.473,0.573,0.995,0.264,0.283,2232
9,cf,0.341,0.389,0.658,0.277,0.296,2520
9,hc,0.511,0.559,5.269,0.272,0.317,2520
10,cf,0.222,0.369,0.425,0.188,0.147,4464
10,hc,0.304,0.535,1.386,0.186,0.185,4464
11,cf,0.31,0.41,0.633,0.236,0.222,3732
11,hc,0.456,0.556,1.338,0.263,0.301,3732
12,cf,0.169,0.538,1.252,0.143,0.137,3720
12,hc,0.235,0.702,2.017,0.136,0.158,3720
